"filename", "language", "Python", "YAML", "TypeScript", "TypeScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\channels-bot\cleanup_worker.py", "Python", 74, 0, 0, 0, 0, 5, 10, 89
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\channels-bot\main.py", "Python", 26, 0, 0, 0, 0, 5, 1, 32
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\docker-compose.yml", "YAML", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter-bot\main.py", "Python", 174, 0, 0, 0, 0, 15, 7, 196
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 18
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\package.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\api\filters.ts", "TypeScript", 0, 0, 34, 0, 0, 1, 6, 41
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\components\ChannelFilters.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 9
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\components\FilterForm.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 31
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\components\ParserControl.tsx", "TypeScript JSX", 0, 0, 0, 127, 0, 2, 13, 142
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\pages\MainPage.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 2, 4
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\kafka_worker.py", "Python", 108, 0, 0, 0, 0, 29, 8, 145
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\routes\filters.py", "Python", 19, 0, 0, 0, 0, 2, 3, 24
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\utils.py", "Python", 58, 0, 0, 0, 0, 6, 2, 66
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\main.py", "Python", 248, 0, 0, 0, 0, 37, 25, 310
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\postgres_state.py", "Python", 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\solution.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 712, 2, 34, 169, 19, 102, 79, 1117